Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/03/2024,11.8,30.2,,,,,,,17.4,79,,NNE,4,,28.4,43,,SW,11,
2/03/2024,14.1,22.5,0,,,SW,31,14:58,17.5,79,,SSE,7,,20.5,49,,SSW,17,
3/03/2024,,21.2,0,,,SW,39,14:25,,,,W,9,,19.5,58,,SW,17,
4/03/2024,10.6,23.5,0,,,SSE,30,14:57,14.8,60,,SE,9,,21.4,39,,SSE,13,
5/03/2024,8.4,31.6,0,,,WNW,31,13:34,16,76,,NNE,7,,30.5,20,,NNW,9,
6/03/2024,13.3,30.3,0,,,SW,26,15:09,17.9,65,,ESE,4,,28.6,37,,SW,17,
7/03/2024,15.3,24.5,0,,,SSE,30,17:58,17.4,69,,SSE,7,,23.1,51,,SSE,13,
8/03/2024,10.4,32,0,,,S,24,16:17,15.1,86,,NNE,6,,30.8,45,,ENE,2,
9/03/2024,15.1,37.1,0,,,NNE,46,12:57,25.4,57,,NNE,13,,35.9,31,,NNE,20,
10/03/2024,25.5,36.4,0,,,NNW,43,12:06,28.9,36,,NNE,20,,35,26,,NNW,15,
11/03/2024,20.1,34.4,0,,,N,43,13:52,25.2,54,,NNE,9,,33.3,25,,NNW,19,
12/03/2024,19.9,25.4,0,,,SSW,26,11:21,24.2,54,, ,Calm,,22.1,71,,S,11,
13/03/2024,15.9,19.4,1.4,,,WSW,20,15:21,16.1,92,, ,Calm,,18.3,84,,SSW,7,
14/03/2024,14.8,25,4.4,,,S,33,15:39,16.7,92,,SSE,6,,22.7,59,,S,13,
15/03/2024,14.1,27.3,0,,,SSE,30,16:35,17.9,80,,SSE,7,,26,49,,SSE,13,
16/03/2024,11.3,29.5,0,,,SE,22,18:01,17.1,85,, ,Calm,,28.3,34,,WNW,2,
17/03/2024,14.3,30.5,0,,,SE,28,16:53,20.8,60,,NE,13,,27.3,35,,SSE,7,
18/03/2024,13.4,31.4,0,,,NE,22,13:36,19.8,72,, ,Calm,,29.1,36,,NE,4,
19/03/2024,19.2,29.1,0,,,NNE,54,11:31,24.9,57,,NE,20,,26.5,58,,N,15,
20/03/2024,12.9,18.4,4.4,,,WSW,48,11:54,14.5,66,,W,11,,16.7,44,,WSW,26,
21/03/2024,,21.9,0,,,S,26,14:10,11.8,73,,SW,2,,20.9,38,,SE,7,
22/03/2024,7.8,23.9,0,,,S,28,16:20,12.5,81,,N,6,,23,44,,SSW,13,
23/03/2024,8,20.2,0,,,SSW,31,15:01,13.1,95,,SW,2,,18.9,53,,S,11,
24/03/2024,8,22.4,0,,,W,28,16:15,12.8,71,,NNE,6,,20.7,47,,W,7,
25/03/2024,11.5,23.1,0,,,SSW,26,15:43,15.1,74,,N,7,,21.9,51,,W,9,
26/03/2024,11.3,21.9,0,,,SSW,24,13:35,14.1,86,,WNW,4,,21,47,,WSW,11,
27/03/2024,11.4,21.6,0,,,SW,31,13:25,16.3,79,,S,2,,19.3,64,,SSW,11,
28/03/2024,12.2,22.2,0,,,SW,28,16:57,15.4,68,,SSE,6,,21.3,46,,SSW,15,
29/03/2024,9.2,30.3,0,,,NNW,30,14:18,13.5,88,,NE,7,,29.3,22,,NNW,15,
30/03/2024,10.2,26.5,0,,,SSW,24,15:53,13.2,94,,NNE,6,,26.4,42,,S,9,
31/03/2024,9.4,26.1,0,,,S,24,16:00,13.5,98,,ENE,2,,24.5,53,,S,9,
